Date,Open,High,Low,Close,Adj Close,Volume
2021-09-07,51.110001,51.349998,50.700001,51.000000,49.426971,3355100
2021-09-08,51.250000,51.410000,50.880001,51.090000,49.514198,2823700
2021-09-09,50.910000,50.950001,50.110001,50.570000,49.010235,4368500
2021-09-10,50.810001,50.849998,49.439999,49.450001,47.924778,5550100
2021-09-13,49.869999,50.250000,49.080002,49.180000,47.663109,8469500
2021-09-14,49.330002,49.380001,48.160000,48.220001,46.732716,4939300
2021-09-15,48.080002,50.189999,48.080002,50.119999,48.574116,5612800
2021-09-16,50.110001,50.349998,49.320000,49.939999,48.399666,5413100
2021-09-17,49.480000,49.759998,49.200001,49.619999,48.089539,7437300
2021-09-20,49.070000,49.400002,47.849998,48.400002,46.907166,5325500
2021-09-21,48.599998,49.119999,47.910000,48.020000,46.538887,4614500
2021-09-22,48.540001,48.680000,47.950001,48.009998,46.529190,3896300
2021-09-23,47.950001,48.810001,47.750000,48.459999,46.965309,2947200
2021-09-24,48.639999,48.669998,48.240002,48.310001,46.819942,3457200
2021-09-27,48.349998,49.209999,48.290001,48.799999,47.294827,6688800
2021-09-28,48.720001,48.990002,48.029999,48.090000,46.606728,6323800
2021-09-29,48.099998,50.880001,47.849998,48.709999,47.207603,5568400
2021-09-30,48.790001,48.930000,46.919998,47.049999,45.598804,6449400
2021-10-01,47.130001,47.270000,46.060001,46.799999,45.356514,4895800
2021-10-04,46.759998,47.439999,46.520000,46.689999,45.249908,5628800
2021-10-05,46.740002,47.220001,46.270000,47.090000,45.637569,4149600
2021-10-06,46.860001,47.240002,46.220001,46.910000,45.463120,4414400
2021-10-07,47.360001,48.270000,47.240002,47.849998,46.374126,4311400
2021-10-08,47.860001,47.910000,47.240002,47.380001,45.918629,5643700
2021-10-11,47.400002,48.250000,47.380001,47.419998,45.957390,3278700
2021-10-12,47.150002,47.810001,47.070000,47.419998,45.957390,4473500
2021-10-13,47.580002,47.680000,46.810001,47.259998,45.802326,5978400
2021-10-14,47.410000,51.779999,45.230000,50.770000,49.204067,29374000
2021-10-15,51.209999,51.660000,48.799999,48.919998,47.411125,11856600
2021-10-18,48.709999,48.709999,47.590000,48.400002,46.907166,6456800
2021-10-19,48.590000,48.590000,47.480000,48.009998,46.529190,6040800
2021-10-20,48.099998,48.619999,47.880001,48.389999,46.897476,4936000
2021-10-21,48.299999,49.189999,48.299999,49.139999,47.624340,4739300
2021-10-22,49.299999,49.919998,48.740002,49.000000,47.488659,5150600
2021-10-25,49.500000,49.810001,49.090000,49.220001,47.701874,5060100
2021-10-26,49.400002,49.400002,48.020000,48.310001,46.819942,5806400
2021-10-27,48.450001,48.459999,47.090000,47.119999,45.666641,5652000
2021-10-28,47.080002,47.349998,46.660000,47.099998,45.647263,4843900
2021-10-29,46.860001,47.279999,46.770000,47.020000,45.569729,4999000
2021-11-01,47.099998,47.680000,46.810001,47.320000,45.860474,4791400
2021-11-02,47.540001,47.770000,46.849998,47.750000,46.277210,5059300
2021-11-03,47.400002,49.430000,47.400002,49.230000,47.711567,6018300
2021-11-04,49.279999,49.560001,48.340000,49.509998,47.982925,6505100
2021-11-05,49.900002,50.279999,48.860001,50.200001,48.651649,8701700
2021-11-08,50.279999,50.980000,49.720001,49.900002,48.360901,6720900
2021-11-09,49.950001,50.070000,49.020000,49.099998,47.585575,4719200
2021-11-10,49.169998,49.740002,48.880001,48.970001,47.459583,4537400
2021-11-11,49.389999,49.959999,49.080002,49.939999,48.399666,3837200
2021-11-12,49.389999,49.860001,49.020000,49.540001,48.475990,3200100
2021-11-15,49.689999,49.910000,49.049999,49.220001,48.162865,3489000
2021-11-16,49.330002,49.349998,48.529999,48.570000,47.526825,4013400
2021-11-17,48.400002,48.660000,47.619999,47.810001,46.783150,8640600
2021-11-18,47.619999,47.970001,46.849998,47.820000,46.792931,5186200
2021-11-19,47.889999,47.900002,46.849998,46.980000,45.970974,7617800
2021-11-22,47.000000,48.080002,46.799999,47.320000,46.303669,4780800
2021-11-23,47.470001,47.900002,46.500000,47.389999,46.372166,7307300
2021-11-24,47.130001,47.340000,46.259998,46.619999,45.618706,7993900
2021-11-26,45.910000,46.150002,45.290001,45.900002,44.914173,5798700
2021-11-29,46.110001,46.509998,45.500000,46.080002,45.090305,8875200
2021-11-30,46.060001,46.509998,44.410000,44.799999,43.837795,13238100
2021-12-01,45.299999,45.700001,43.689999,43.720001,42.780991,6257600
2021-12-02,44.240002,44.990002,43.619999,44.619999,43.661659,5758500
2021-12-03,44.860001,46.580002,44.509998,46.529999,45.530640,12772900
